time,commodity,price,density,elasticity
1,Copper,100,0.5,0.7
2,Copper,102,0.6,0.65
3,Copper,101,0.55,0.6
4,Copper,105,0.7,0.8
5,Copper,107,0.8,0.85

1,Aluminium,95,0.4,0.6
2,Aluminium,97,0.45,0.65
3,Aluminium,96,0.42,0.63
4,Aluminium,99,0.5,0.7
5,Aluminium,101,0.55,0.75

1,Gold,1800,0.9,0.95
2,Gold,1820,0.92,0.96
3,Gold,1810,0.91,0.94
4,Gold,1830,0.93,0.97
5,Gold,1850,0.95,0.98

1,Silver,25,0.7,0.8
2,Silver,26,0.72,0.82
3,Silver,25.5,0.71,0.81
4,Silver,27,0.73,0.83
5,Silver,28,0.75,0.85

1,Oil,70,0.3,0.4
2,Oil,72,0.32,0.42
3,Oil,71,0.31,0.41
4,Oil,74,0.33,0.43
5,Oil,76,0.35,0.45

1,Iron,110,0.6,0.65
2,Steel,120,0.65,0.7
3,Nickel,150,0.7,0.75
4,Zinc,90,0.55,0.6
5,Lead,85,0.5,0.55

1,Lithium,200,0.8,0.85
2,Cobalt,250,0.85,0.9
3,Platinum,950,0.9,0.92
4,Palladium,1000,0.92,0.93
5,Uranium,60,0.4,0.45

1,Coal,50,0.35,0.4
2,NaturalGas,30,0.3,0.35
3,Wheat,20,0.2,0.25
4,Corn,18,0.22,0.27
5,Rice,15,0.18,0.22

1,Soybean,22,0.25,0.3
2,Sugar,19,0.23,0.28
3,Coffee,140,0.4,0.5
4,Cocoa,2500,0.5,0.6
5,Cotton,80,0.35,0.45

1,Timber,300,0.6,0.7
2,Glass,70,0.55,0.65
3,Cement,120,0.65,0.75
4,Plastic,90,0.5,0.6
5,Rubber,150,0.55,0.7

1,Helium,200,0.3,0.4
2,Hydrogen,50,0.2,0.3
3,Silicon,400,0.7,0.8
4,Graphite,180,0.6,0.75
5,Quartz,220,0.65,0.78
